NAME,NEWNAME
STUB_DCL[SUNTHURNOHOL],SUNTHURNOHOL
STUB_DCL[SUNTHURNOHOL]DYS[>15],15CD_ RF if 16th is not WD
STUB_DCL[SUNTHURNOHOL]DYS[D1-D2-D3],1-3WD-SUNTHURNOHOL
STUB_DCL[WEEKDAYS]DYS[L1],Last Friday Monthly
STUB_DYS[1-15],1CD and 15CD
STUB_DYS[1-16],1CD and 16CD
STUB_DYS[1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-28-2,Not 21-27CD or December
STUB_DYS[1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20],First 20 Calendar Days
STUB_DYS[1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-28-29-30-31]MIU[DEC,December_ not 16-27CD
STUB_DYS[1-2-3-4-5-6-7-8-9-10-11-12-13-14-15],First Fifteen Calendar Days
STUB_DYS[1-2-3-4-5-6-7-8-9-10-11-12-L1],First Twelve and Last Calendar Days
STUB_DYS[1-2-3-4-5-6-7-8-9],First Nine Calendar Days
STUB_DYS[1-2],First 2 Calendar Days
STUB_DYS[1-26],1CD and 26CD
STUB_DYS[1-L1],First and Last CD
STUB_DYS[1],CD1
STUB_DYS[1]MIU[JAN-APR-JUL-OCT],1CD Quarterly (Jan_ Apr_ Jul_ Oct)
STUB_DYS[1]MIU[JAN],January 1st_ Yearly
STUB_DYS[10],CD10
STUB_DYS[11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-2,11-31CD
STUB_DYS[11-19],11CD and 19CD
STUB_DYS[11],CD11
STUB_DYS[12],CD12
STUB_DYS[14-24],14CD and 24CD
STUB_DYS[14],CD14
STUB_DYS[15-L1],15CD and LCD
STUB_DYS[15],CD15
STUB_DYS[16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31],16-31CD
STUB_DYS[16],CD16
STUB_DYS[17],CD17
STUB_DYS[18],CD18
STUB_DYS[2],CD2
STUB_DYS[20-21-24],20CD_ 21CD_ 24CD
STUB_DYS[20],CD20
STUB_DYS[22],CD22
STUB_DYS[23],CD23
STUB_DYS[24],CD24
STUB_DYS[24]MIU[FEB],February 24th_ Yearly
STUB_DYS[25-26-27-28-29-30-31],25-31CD
STUB_DYS[25],CD25
STUB_DYS[26-27-28-29-30-31],26-31CD
STUB_DYS[26],CD26
STUB_DYS[28],CD28
STUB_DYS[3],CD3
STUB_DYS[31]MIU[DEC],December 31st_ Yearly
STUB_DYS[4],CD4
STUB_DYS[5],CD5
STUB_DYS[5]MIU[JAN-APR-JUL-OCT],5CD Quarterly (Jan_ Apr_ Jul_ Oct)
STUB_DYS[6-7-8-9-10-11-12-13-14-15-16-17-18-19-20],6-20CD
STUB_DYS[6],CD6
STUB_DYS[7],CD7
STUB_DYS[8],CD8
STUB_DYS[ALL],7DACAL
STUB_DYS[L1-1-2-3-4-5-6-7-8-9-10-11-12-13-14],First 14CDs and LCD
STUB_DYS[L1-1],First and Last CD
STUB_DYS[L1],LASTCD
STUB_DYS[L1]MIU[FEB-APR-JUN-AUG-OCT-DEC],LASTCD Every Other Month
STUB_DYS[L1]MIU[MAR-JUN-SEP-DEC],Day Prior First Calendar Quarterly (Jan_ Apr_ Jul_ Oct)
STUB_DYS[L2],Next To Last CD
STUB_WKD[-6--0]WCL[1CDTHRU3WD],1CDTHRU3WD No Weekends
STUB_WKD[<4]WCL[COPUSWD],Thursday if Holiday RB
STUB_WKD[<5]DCL[COPUSWD]WCL[COPUSWD]DYS[D6],Last WD Weekly and 6WD
STUB_WKD[<5]WCL[COPUSWD],Last WD Weekly
STUB_WKD[>0]WCL[SUNTHURNOHOL],Sunday Unless Monday is Holiday then RF
STUB_WKD[ALL],7DACAL
STUB_WKD[ALL]DCL[COPUSWD]DYS[-D8],7DA Except 8WD
STUB_WKD[ALL]DCL[SAPSAT]DYS[-D1],7DA Except 1st Saturday Monthly
STUB_WKD[ALL]DCL[SUNTHURNOHOL]DYS[-D1--D2--D3],7DA Except Day Prior to WD1-3
STUB_WKD[ALL]DYS[1],CD1
STUB_WKD[ALL]DYS[15],CD15
STUB_WKD[ALL]DYS[18],CD18
STUB_WKD[ALL]DYS[19],CD19
STUB_WKD[ALL]DYS[3],CD3
STUB_WKD[ALL]DYS[6-13-20-L2-L1],6CD_ 13CD_ 20CD_ -1LCD_ LCD
STUB_WKD[ALL]DYS[7],CD7
STUB_WKD[ALL]DYS[8],CD8
STUB_WKD[ALL]DYS[L1],LASTCD
STUB_WKD[D0W3],Third Sunday Monthly
STUB_WKD[D0W4],Fourth Sunday Monthly
STUB_WKD[D1W2],Second Monday Monthly
STUB_WKD[D1W3],Third Monday Monthly
STUB_WKD[D1W4],Fourth Monday Monthly
STUB_WKD[D2W2-D2W4],2nd and 4th Tuesday Monthly
STUB_WKD[D2W2],Second Tuesday Monthly
STUB_WKD[D2W3],Third Tuesday Monthly
STUB_WKD[D2W4],Fourth Tuesday Monthly
STUB_WKD[D3W1],First Wednesday Monthly
STUB_WKD[D3W2],Second Wednesday Monthly
STUB_WKD[D3W3],Third Wednesday Monthly
STUB_WKD[D3W4],Fourth Wednesday Monthly
STUB_WKD[D4W1],First Thursday Monthly
STUB_WKD[D4W2],Second Thursday Monthly
STUB_WKD[D4W3],Third Thursday Monthly
STUB_WKD[D4W4],Fourth Thursday Monthly
STUB_WKD[D5W3],Third Friday Monthly
STUB_WKD[FIRST_FRIDAY_FIRST_WEEK],First Friday Monthly
STUB_WKD[FIRST_MONDAY_FIRST_WEEK],First Monday Monthly
STUB_WKD[FIRST_SATURDY_FIRST_WEEK],First Saturday Monthly
STUB_WKD[FIRST_SATURDY_FIRST_WEEK]MIU[JAN-APR-JUL-OCT],First Saturday Quarterly
STUB_WKD[FIRST_SATURDY_FIRST_WEEK]MIU[JAN-FEB-MAR-APR-JUN-JUL-AU,First Saturday Monthly Except May
STUB_WKD[FIRST_SATURDY_SECOND_WEEK]MIU[MAY],Second Saturday in May
STUB_WKD[FIRST_SUNDAY_FIRST_WEEK],First Sunday Monthly
STUB_WKD[FIRST_SUNDAY_SECOND_WEEK],Second Sunday Monthly
STUB_WKD[FIRST_TUESDAY_FIRST_WEEK],First Tuesday Monthly
STUB_WKD[FRI-SAT],Friday and Saturday
STUB_WKD[FRI],Friday
