JOBNAME,PROGNAME,VARIANT,PDEST,PRCOP,PLIST,PRTXT,PRBER
YFAUTCEE,SAPF124,CEE_GLCASH,MFPR,001,YFAUTCEE_001,Auto Clearing CEE Cash Accounts,
YFAUTCFI,SAPF124,CJN_GLCASH_FI,MFPR,001,YFAUTCFI_001,Auto Clearing CJN Finland Cash,
YFAUTCHZ,SAPF124,AUTOCLR HZ,MFPR,001,YFAUTCHZ_001,,
YFAUTCLS,SAPF124,AUTOCLR SITES,MFPR,001,YFAUTCLS_001,,
YFAUTCP1,SAPF124,AUTOCLR PRAJ-1,MFPR,001,YFAUTCP1_001,,COP
YFAUTCP2,SAPF124,AUTOCLR PRAJ-2,MFPR,001,YFAUTCP2_001,,COP
YFAUTCPA,SAPF124,AUTOCLR PRAESC,MFPR,001,YFAUTCPA_001,Auto Clearing Cash Accounts,
YFAUTCS1,SAPF124,AUTOCLR SITES1,MFPR,001,YFAUTCS1_001,,
YFAUTCS2,SAPF124,AUTOCLR L0_L9,,001,YFAUTCS2_001,,COP
YFAUTCS3,SAPF124,AUTOCLRPRASPEC,MFPR,001,YFAUTCS3_001,,COP
YFAUTCSH,SAPF124,AUTOCLR FX,MFPR,001,YFAUTCSH_001,,
YFAUTCTR,SAPF124,AUTOCLR TREAS,MFPR,001,YFAUTCTR_001,,
YFAUTCTS,SAPF124,AUTOCLR TR-EBS,MFPR,001,YFAUTCTS_001,,COP
YFAUTEBS,ZFI_EBS_CLEARING,BA-FP01-103732,BVLG,001,YFAUTEBS_001,,
YFBCS1R1,ZBWBCS_S1PULL,CORP ALL,MFPR,001,YFBCS1R1_001,,COP
YFBCSHRY,ZFI_HIERARCHY_LOAD,CGEOCU,,001,YFBCSHRY_001,,COP
YFBCSPS1,ZBWBCS_S1PULL,MONTHEND,MFPR,001,YFBCSPS1_001,,
YFBCSQLR,ZBWBCS_ZJPULL,APLNG RPT ONLY,MFPR,001,YFBCSQLR_001,,COP
YFBCSYZS,ZBWBCS_ZSPULL,YEAREND,MFPR,001,YFBCSYZS_001,,
YFBCSZJ1,ZBWBCS_ZJPULL,ME SPLIT 1,MFPR,001,YFBCSZJ1_001,,COP
YFBCSZJB,ZBWBCS_ZJPULL,ME SPLIT 2A,MFPR,001,YFBCSZJB_001,,COP
YFBCSZJC,ZBWBCS_ZJPULL,ME SPLIT 2B,MFPR,001,YFBCSZJC_001,,COP
YFBCSZJD,ZBWBCS_ZJPULL,ME SPLIT 2C,MFPR,001,YFBCSZJD_001,,COP
YFBCSZJE,ZBWBCS_ZJPULL,ME SPLIT 2D,MFPR,001,YFBCSZJE_001,,COP
YFBCSZJR,ZBWBCS_ZJPULL,ME REPORT ONLY,MFPR,001,YFBCSZJR_001,,COP
YFBCYJS1,ZBWBCS_JSPULL,YE SPLIT 1,MFPR,001,YFBCYJS1_001,,COP
YFBCYJSB,ZBWBCS_JSPULL,YE SPLIT 2A,MFPR,001,YFBCYJSB_001,,COP
YFBCYJSC,ZBWBCS_JSPULL,YE SPLIT 2B,MFPR,001,YFBCYJSC_001,,COP
YFBCYJSD,ZBWBCS_JSPULL,YE SPLIT 2C,MFPR,001,YFBCYJSD_001,,COP
YFBCYJSE,ZBWBCS_JSPULL,YE SPLIT 2D,MFPR,001,YFBCYJSE_001,,COP
YFBCZJR1,ZBWBCS_ZJPULL,CORP ALL,MFPR,001,YFBCZJR1_001,,COP
YFBLKINC,ZBLKDINV,CAN-REQUSITION,MFPR,001,YFBLKINC_001,,
YFBLKINV,ZBLKDINV,PRODUCTION JOB,MFPR,001,YFBLKINV_001,,
YFBSAS01,RFEBKA00,COPSG_BOA_AS01,BVMK,001,YFBSAS01_001,,
YFBSE801,RFEBKA00,COPI_BOA_E801,BVMK,001,YFBSE801_001,,
YFBSNBKP,RFEBKA00,COPI_BOA_NBKP,BVMK,001,YFBSNBKP_001,,COP
YFBWAPEX,ZBWX_BKPFBSEG,ZDAILY,MFPR,001,YFBWAPEX_001,,COP
YFCACUPR,ZFI_AP_CA_CLEARED_USD_PYMT_RPT,DAILY,MFPR,001,YFCACUPR_001,List of Canada Royalty Payment Invoices Converted from CAD to USD,COP
YFCAEVNL,RPRAPA00,CA_EMPVEN_LOCK,MFPR,001,YFCAEVNL_001,,
YFCAEVNU,RPRAPA00,CA_EMPVEN_UPD,MFPR,001,YFCAEVNU_001,,
YFCAGLBL,ZUNIXCPY,YFCAGLBL 1,BVMK,001,YFCAGLBL_001,,COP
YFCAGLRF,Z_CREATE_GL_FILE_FROM_PI,CAN RREVF,BVMC,001,Z_CREATE_GL_,,COP
YFCAGLTE,ZDELETE,CAN TRANS ENGA,BVMC,001,YFCAGLTE_001,,
YFCANCOS,Z_COST_OBJECT_EXTRACT,CAN_COST_CENTR,MFPR,001,YFCANCOS_001,Create Canada Cost Center Extract file,COP
YFCANMET,Z_CREATE_GL_FILE_FROM_PI,MET_PRA,BVMC,001,YFCANMET_001,,COP
YFCANSKF,ZOEASTAT_CC_CONV,CANADA PRISM,BVMK,001,YFCANSKF_001,,COP
YFCANSKT,ZOEASTAT_CC_CONV,CAN PRISM TEST,BVMK,001,YFCANSKT_001,,COP
YFCASKRE,ZJVRECON_CA_SKF,CANADA_SKF_REC,BVMK,001,YFCASKRE_001,,COP
YFCATCOC,RCATSTCO,CHINA MONTHLY,SH46,001,YFCATCOC_001,,
YFCATCOD,RCATSTCO,CHINA WEEKLY,SH46,001,YFCATCOD_001,,
YFCATCOM,RCATSTCO,USA MONTHLY,MFPR,001,YFCATCOM_001,,
YFCATCOW,RCATSTCO,USA WEEKLY,SK13,001,YFCATCOW_001,,
YFCATPMC,RCATSTPM,CHINA MONTHLY,SH46,001,YFCATPMC_001,,
YFCATPMD,RCATSTPM,CHINA WEEKLY,SH46,001,YFCATPMD_001,,
YFCATPMM,RCATSTPM,USA MONTHLY,MFPR,001,YFCATPMW_001,,
