GROUPNAME,JOBNAME
COD001CD,SETPID.COD001CD
DA23SAT,DA2065G
DA23SAT,DA2066G
DA23SAT,DA2069G
DA23SAT,DA2073G
DA23SAT,DA2214G
DA23SAT,DA2215G
DA23SAT,DA2216G
DA23SAT,DA2217G
DA23SAT,DA2218G
DA23SAT,DA2219G
DA23SAT,DA2223G
DA23SAT,DA2224G
DA23SAT,DA2230G
DA23SAT,DA2231G
DA23SAT,DA2233G
DA23SAT,DA2234G
DA23SAT,DA2235G
DA23SAT,DA2236G
DA23SAT,DA2237G
DA23SAT,DA2238G
DA23SAT,DA2239G
DA23SAT,DA2240G
DA23SAT,DA2241G
DA23SAT,DA2260G
DA23SAT,DA2261G
DA23SAT,DA2262G
DA23SAT,DA2263G
DA23SAT,DA2264G
DA23SAT,DA2265G
DA23SAT,DA2266G
DA23SAT,DA2267G
DA23SAT,DA2268G
DA23SAT,DA2269G
DA23SAT,DA2270G
DA23SAT,DA2271G
DA23SAT,DA2272G
DA23SAT,DA2273G
DA23SAT,DA2274G
DA23SAT,DA2275G
DA23SAT,DA2277G
DA23SAT,DA2278G
DA23SAT,DA2279G
DA23SAT,DA2280G
DA23SAT,DA2281G
DA23SAT,DA2282G
DA23SAT,DA2283G
DA23SAT,DA2284G
DA23SAT,DA2285G
DA23SAT,DA2286G
DA23SAT,DA2287G
DA23SAT,DA2288G
DA23SAT,DA2289G
DA23SAT,DA2290G
DA23SAT,DA2291G
DA23SAT,DA2292G
DA23SAT,DA2293G
DA23SAT,DA2296G
DA23SAT,DA2297G
DA23SAT,DA2298G
DA23SAT,DA2299G
DA23SAT,DA2300A
DA23SAT,DA2300B.DA23SAT
DA23SAT,DA2300G
DA23SAT,DA2300I9
DA23SAT,DA2300M
DA23SAT,DA2300Q
DA23SAT,DA2303G
DA23SAT,DA2312G
DA23SAT,DA2339G
DA23SAT,DA2346G
DA23SAT,DA2358G
DA23SAT,DA2359G
DA23SAT,DA2373G
DA23SAT,DA2374G
DA23SAT,DA2378G
DA23SAT,DA2383G
DA23SAT,DA2398G
DA23SAT,DA2537G
DA23SAT,DA2539G
DA23SAT,LIE.DA23SAT
DA23SAT,LIS.DA23SAT
DA250T01,DA250R
DA250T01,DA250T02
DA250T01,DA251P
DA250T01,DA251R
DA250T01,DA251T
DA250T01,EB099M
DA250T01,LIE.DA250T01
DA250T01,LIS.DA250T01
DA250T01,PC004A
DA251H01,DA251H01
DA251H01,LIE.DA251H01
DA251H01,LIS.DA251H01
DA253A,DA253A
DA253A,LIE.DA253A
DA253A,LIS.DA253A
DA569A,DA569A
DA569A,DA569AT
DA569A,DB2165S
DA569A,LIE.DA569A
DA569A,LIS.DA569A
DB0067B,DB0067B
DB0067B,LIE.DB0067B
DB0067B,LIS.DB0067B
DB0098A,DB0098A
DB0098A,DB0098B
DB0098A,DB0098B.SATAM
DB0098A,DB0098B.SATPM
DB0098A,DB0098I9
DB0098A,DB0098I9.SATPM
DB0098A,DB0099I
DB0098A,DB0101G
DB0098A,DB0101I
DB0098A,DB0101U
DB0098A,DB0101V
DB0098A,DB0102I
DB0098A,DB0102L.MONAM
DB0098A,DB0102L.SATPM
DB0098A,DB0102V.MONAM
DB0098A,DB0102V.SATPM
DB0098A,DB0103G
DB0098A,DB0103I
DB0098A,DB0103U
DB0098A,DB0103V
DB0098A,DB0105I
DB0098A,DB0106G
DB0098A,DB0106I
DB0098A,DB0106U
DB0098A,DB0106V
DB0098A,DB0107G
DB0098A,DB0107I
DB0098A,DB0107I.SATPM
DB0098A,DB0107U
DB0098A,DB0107V
DB0098A,DB0108G
DB0098A,DB0108I
DB0098A,DB0108U
DB0098A,DB0108V
DB0098A,DB0111L
DB0098A,DB0111L.SATAM
DB0098A,DB0111V
DB0098A,DB0111V.SATAM
DB0098A,DB0112G
DB0098A,DB0112I
DB0098A,DB0112I.SATPM
DB0098A,DB0112U
DB0098A,DB0112V
DB0098A,DB0113G
DB0098A,DB0113I
DB0098A,DB0113I.SATPM
DB0098A,DB0113U
DB0098A,DB0113V
DB0098A,DB0114L
DB0098A,DB0114L.SATPM
DB0098A,DB0114V
DB0098A,DB0114V.SATPM
DB0098A,DB0115L
DB0098A,DB0115V
DB0098A,DB0223A
DB0098A,DB0242I
DB0098A,DB0243I
DB0098A,DB0243L
DB0098A,DB0243V
DB0098A,DB0251G
DB0098A,DB0251I2
DB0098A,DB0251U
DB0098A,DB0251V
DB0098A,DB0252V.WEDAM
DB0098A,DB0391G
DB0098A,DB0391I
DB0098A,DB0391I.SATPM
DB0098A,DB0391U
DB0098A,DB0391V
DB0098A,DB0392G
DB0098A,DB0392I
DB0098A,DB0392U
DB0098A,DB0392V
DB0098A,DB0393G
DB0098A,DB0393I
DB0098A,DB0393I.SATPM
DB0098A,DB0393U
DB0098A,DB0393V
DB0098A,DB0394G
DB0098A,DB0394I
DB0098A,DB0394I.SATPM
DB0098A,DB0394U
DB0098A,DB0394V
DB0098A,DB0395G
DB0098A,DB0395I
DB0098A,DB0395I.SATPM
DB0098A,DB0395U
DB0098A,DB0395V
DB0098A,DB0396G
DB0098A,DB0396I
DB0098A,DB0396U
DB0098A,DB0396V
DB0098A,DB0397G
DB0098A,DB0397I
DB0098A,DB0397U
DB0098A,DB0397V
DB0098A,DB0398G
DB0098A,DB0398I
DB0098A,DB0398U
DB0098A,DB0398V
DB0098A,DB0399L
DB0098A,DB0399V
DB0098A,DB1000A
DB0098A,DB1000B
DB0098A,DB1000I
DB0098A,DB1031I
DB0098A,DB1041I9
DB0098A,DB1101L
DB0098A,DB1115I
DB0098A,DB1116I
DB0098A,DB1120L
DB0098A,DB1120LT
DB0098A,DB1121L
DB0098A,DB1121LT
DB0098A,DB1122L
DB0098A,DB1122LT
DB0098A,DB1125LR
DB0098A,DB1126LR
DB0098A,DB1135I
DB0098A,DB1138I
DB0098A,DB1139I
DB0098A,TE0016A
DB0098A,TE008U1
DB0098A,TE008U1.SATAM
DB0098A,TE008U1A
DB0098A,TE008U1A.SATAM
DB0098A,TE008U2
DB0098A,TE008U7
DB0098A,TE0090
DB0098A,TE0090.SATPM
DB0098A,TE009U1
DB0098A,TE520LDA
DB0098A,TE520O
DB0098A,TE520PAY
DB0098A,TE540A
DB0098A,TE9850
DB0098A,TE9850A
DB0098A,TECOBRA1
DB0098A,TEGN5100
DB0098A,TEJ120A
DB0098A,TI100AAK
DB0113I,DB0113AT
DB0113I,DB0113AX
DB0113I,DB0113BT
DB0113I,DB0113BX
DB0113I,DB0113IT
DB0113I,DB0113IX
DB0114A,DB0098B.DBUP
DB0114A,DB0102I
DB0114A,DB0102L
DB0114A,DB0102V
DB0114A,DB0114A
